MovieId,Title,Tmdb_id,vote_average,vote_count,popularity,overview,,,,,,,,,,,,,,
0,28 Minute Epic,356694,0,0,0.6,"Two aimless Jersey boy best friends are fired from their cushy porn-shop jobs and decide to become superheroes for hire in order to attain financial stability after accidentally saving someone's life. With help from a professional"" crime fighter"," they find that being a hero isn't always super.""",,,,,,,,,,,,,
1,7 Days in Hell,287689,6.4,179,8.515,A fictional documentary-style expose on the rivalry between two tennis stars who battled it out in a 1999 match that lasted seven days.,,,,,,,,,,,,,,
2,9.April,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
3,Absolutely Anything,86828,5.7,616,8.162,Eccentric aliens give a man the power to do anything he wants to determine if Earth is worth saving.,,,,,,,,,,,,,,
4,Advantageous,308457,6,75,4.435,"In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter, Jules, do all they can to hold on to their joy, despite the instability surfacing in their world.",,,,,,,,,,,,,,
4,Advantageous,373043,0,0,1.346,"Gwen is the spokesperson for a radical technology allowing people to overcome their natural disadvantages and begin life anew. But when her job and family are in crisis, will she undergo the procedure herself? Short film that served as the basis for the 2015 feature film.",,,,,,,,,,,,,,
5,The Age of Adaline,293863,7.4,3343,8.815,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",,,,,,,,,,,,,,
6,All Creatures Big and Small,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
7,Alleluia! The Devil's Carnival,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
8,Aloha,222936,5.2,1008,8.337,A celebrated military contractor returns to the site of his greatest career triumphs and re-connects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,,,,,,,,,,,,,,
9,Already Tomorrow In Hong Kong,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
10,Always Watching: A Marble Hornets Story,329289,4.9,56,2.737,"A group of student film makers are creating Project Marble Hornets"" when the production is interrupted by a series of paranormal events in this tense and shocking horror.""",,,,,,,,,,,,,,
11,American Justice,313179,4.5,6,3.291,"When the reckless actions of an out-of-control LAPD officer get his partner killed in a deadly hostage situation, he gets suspended from the police force and heads to Mexico to face off against corrupt cops.",,,,,,,,,,,,,,
12,American Ultra,261392,6,1555,8.98,"American Ultra is a fast-paced action comedy about Mike, a seemingly hapless and unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.",,,,,,,,,,,,,,
13,Amy,331781,7.6,641,5.539,"A documentary on the life of Amy Winehouse, the immensely talented yet doomed songstress. We see her from her teen years, where she already showed her singing abilities, to her finding success and then her downward spiral into alcoholism and drugs.",,,,,,,,,,,,,,
13,Amy,225671,2.6,8,1.122,"With the psychic power of clairvoyance, an extra-sensory perception, Amy starts witnessing haunting visions as her entire Amish village begins to fall into demonic control. An ominous funeral director, Christopher, uses Amy's special abilities to seek out the covert leader behind the possession. Amy and Christopher must stop the fall of their village before the Devil takes over Amy's soul-forcing them to perform a controversial exorcism",,,,,,,,,,,,,,
13,Amy,377080,6,1,0.6,A pair of ex-lovers spend a spontaneous afternoon together that could either lead to rekindled love or further heartbreak.,,,,,,,,,,,,,,
